Year,Month,Day,Hour,Value
2018,01,31,21,60.61
2018,01,31,22,60.37
2018,01,31,23,59.25
2018,01,31,24,58.78
2018,02,01,1,60
2018,02,01,2,57.79
2018,02,01,3,55.31
2018,02,01,4,50.96
2018,02,01,5,47.07
2018,02,01,6,46
2018,02,01,7,54
2018,02,01,8,59.37
2018,02,01,9,60.77
2018,02,01,10,60.61
2018,02,01,11,60.17
2018,02,01,12,59.25
2018,02,01,13,57.3
2018,02,01,14,55.04
2018,02,01,15,46.88
2018,02,01,16,44.99
2018,02,01,17,44.68
2018,02,01,18,46.32
2018,02,01,19,53.81
2018,02,01,20,58.19
2018,02,01,21,59.37
2018,02,01,22,58.87
2018,02,01,23,55.1
2018,02,01,24,52.14
2018,02,02,1,44.9
2018,02,02,2,41.6
2018,02,02,3,40.55
2018,02,02,4,39.5
2018,02,02,5,39.25
2018,02,02,6,39.5
2018,02,02,7,41.73
2018,02,02,8,54.23
2018,02,02,9,58.29
2018,02,02,10,58.59
2018,02,02,11,58.1
2018,02,02,12,54.65
2018,02,02,13,54.49
2018,02,02,14,52.04
2018,02,02,15,45.2
2018,02,02,16,44.1
2018,02,02,17,44.61
2018,02,02,18,51.37
2018,02,02,19,57.65
2018,02,02,20,60.05
2018,02,02,21,60.61
2018,02,02,22,60.17
2018,02,02,23,58.99
2018,02,02,24,58.72
2018,02,03,1,58.39
2018,02,03,2,54.1
2018,02,03,3,45.1
2018,02,03,4,43.84
2018,02,03,5,43.57
2018,02,03,6,43.39
2018,02,03,7,43.64
2018,02,03,8,44.35
2018,02,03,9,44.1
2018,02,03,10,50.28
2018,02,03,11,55.01
2018,02,03,12,51.07
2018,02,03,13,46.96
2018,02,03,14,46.95
2018,02,03,15,44.35
2018,02,03,16,43.57
2018,02,03,17,43.39
2018,02,03,18,47.38
2018,02,03,19,50.54
2018,02,03,20,58.19
2018,02,03,21,58.99
2018,02,03,22,58.59
2018,02,03,23,55.1
2018,02,03,24,51
2018,02,04,1,50.28
2018,02,04,2,44.55
2018,02,04,3,43.97
2018,02,04,4,43.4
2018,02,04,5,43.4
2018,02,04,6,43.9
2018,02,04,7,44.01
2018,02,04,8,44.35
2018,02,04,9,44.35
2018,02,04,10,52.01
2018,02,04,11,57.98
2018,02,04,12,58.09
2018,02,04,13,57.02
2018,02,04,14,58.19
2018,02,04,15,57.98
2018,02,04,16,54.47
2018,02,04,17,52.55
2018,02,04,18,54.1
2018,02,04,19,58.29
2018,02,04,20,59.82
2018,02,04,21,62.02
2018,02,04,22,62.1
2018,02,04,23,59.81
2018,02,04,24,58.1
2018,02,05,1,58.09
2018,02,05,2,49.59
2018,02,05,3,44.78
2018,02,05,4,44.35
2018,02,05,5,44.35
2018,02,05,6,44.35
2018,02,05,7,49.33
2018,02,05,8,59.35
2018,02,05,9,60.81
2018,02,05,10,62.62
2018,02,05,11,62.02
2018,02,05,12,60.77
2018,02,05,13,59.42
2018,02,05,14,59.31
2018,02,05,15,57.5
2018,02,05,16,53.56
2018,02,05,17,53.4
2018,02,05,18,56.93
2018,02,05,19,58.99
2018,02,05,20,60.57
2018,02,05,21,61.81
2018,02,05,22,60.77
2018,02,05,23,58.55
2018,02,05,24,49.59
2018,02,06,1,45.5
2018,02,06,2,44.35
2018,02,06,3,43.53
