date,hour,class,type,regime,p_mean_pred_eur_mwh,Price_EUR_MWh,k_anchor,mu_anchor,TomorrowMean_EUR_MWh,LowQuantileUsed,ValleyHours,ValleyMultBase,Source
2025-12-26,12,LAB_INV,LAB,NORMAL,111.7673246483724,114.33054429998421,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-26,13,LAB_INV,LAB,NORMAL,111.7673246483724,111.87383654453244,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-26,14,LAB_INV,LAB,NORMAL,111.7673246483724,108.54004798439466,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-26,15,LAB_INV,LAB,NORMAL,111.7673246483724,108.10224367359852,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-26,16,LAB_INV,LAB,NORMAL,111.7673246483724,113.83038738167875,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-26,17,LAB_INV,LAB,NORMAL,111.7673246483724,127.22720730158598,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-26,18,LAB_INV,LAB,NORMAL,111.7673246483724,140.56689738200728,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-26,19,LAB_INV,LAB,NORMAL,111.7673246483724,151.05477390969475,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-26,20,LAB_INV,LAB,NORMAL,111.7673246483724,151.2506431686228,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-26,21,LAB_INV,LAB,NORMAL,111.7673246483724,140.6264811937635,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-26,22,LAB_INV,LAB,NORMAL,111.7673246483724,126.88651268988752,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-26,23,LAB_INV,LAB,NORMAL,111.7673246483724,113.88098727330849,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-27,0,SAT_INV,SAT,LOW,83.81262130061353,74.32711551664552,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-27,1,SAT_INV,SAT,LOW,83.81262130061353,69.95543451859442,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-27,2,SAT_INV,SAT,LOW,83.81262130061353,66.19871278481203,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-27,3,SAT_INV,SAT,LOW,83.81262130061353,64.16608850145329,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-27,4,SAT_INV,SAT,LOW,83.81262130061353,75.68844770420648,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
